conference,year,source_file,section,paper_type,title,authors,award,tags
CoNEXT,2023,conext2023.txt,,paper,Amoeba: Circumventing ML-supported Network Censorship via Adversarial Reinforcement Learning,"H. Liu (The University of Edinburgh), Alec F. Diallo (The University of Edinburgh), P. Patras (The University of Edinburgh)",,networking; security-privacy
CoNEXT,2023,conext2023.txt,,paper,C2Store: C2 Server Profiles at Your Fingertips,"V. Jain (University of California, Riverside), S. M. M. Alam (University of California, Riverside), Srikanth V. Krishnamurthy (University of California, Riverside), M. Faloutsos (University of California, Riverside)",,networking
CoNEXT,2023,conext2023.txt,,paper,Change Point Detection in WLANs with Random AP Forests,"A. Huet (Huawei Technologies Co., Ltd), J. Krolikowski (Huawei Technologies Co., Ltd), J. M. Navarro (Huawei Technologies Co., Ltd), F. Chen (Huawei Technologies Co., Ltd), D. Rossi (Huawei Technologies Co., Ltd)",,networking
CoNEXT,2023,conext2023.txt,,paper,Characterizing Distributed Mobile Augmented Reality Applications at the Edge,"G. Bartolomeo (Technical University of Munich), J. Cao (University of Oulu), X. Su (Norwegian University of Science and Technology), N. Mohan (Technical University of Munich)",,networking; xr-media
CoNEXT,2023,conext2023.txt,,paper,DDoS2Vec: Flow-Level Characterisation of Volumetric DDoS Attacks at Scale,"R. S. Samra (University of Waikato), M. Barcellos (University of Waikato)",,networking; xr-media
CoNEXT,2023,conext2023.txt,,paper,DINC: Toward Distributed In-Network Computing,"C. Zheng (University of Oxford), H. Tang (Yale University), M. Zang (Technical University of Denmark), X. Hong (University of Oxford), A. Feng (Yale University), L. Tassiulas (Yale University), N. Zilberman (University of Oxford)",,networking
CoNEXT,2023,conext2023.txt,,paper,Dances with Blues: Harnessing Multi-Frequency Carriers for Commodity Bluetooth Backscatter,"M. Jiang (University of Science and Technology of China), W. Gong (University of Science and Technology of China)",,networking; bluetooth-audio; backscatter
CoNEXT,2023,conext2023.txt,,paper,Data-driven Analysis of the Cost-Performance Trade-off of Reconfigurable Intelligent Surfaces in a Production Network,"M. Rossanese (NEC Laboratories Europe GmbH), A. Garcia-Saavedra (NEC Laboratories Europe GmbH), A. Lutu (Telefonica Research), X. Costa-Perez (NEC Laboratories Europe GmbH, i2CAT Foundation, and ICREA)",,networking
CoNEXT,2023,conext2023.txt,,paper,Dependent Misconfigurations in 5G/4.5G Radio Resource Control,"Z. Zhang (UCLA), Y. Liu (Purdue University), Q. Li (UCLA), Z. Liu (Purdue University), C. Peng (Purdue University), S. Lu (University of California, Los Angeles)",,networking; cellular
CoNEXT,2023,conext2023.txt,,paper,Dissecting the Performance of Satellite Network Operators,"A. Raman (Telefonica Research), M. Varvello (Nokia Bell Labs), H. Chang (Nokia Bell Labs), N. Sastry (University of Surrey, UK), Y. Zaki (NYU Abu Dhabi)",,networking; satellite
CoNEXT,2023,conext2023.txt,,paper,EXPLORA: AI/ML EXPLainability for the Open RAN,"C. Fiandrino (IMDEA Networks Institute), L. Bonati (Northeastern University), S. D'Oro (Northeastern University), M. Polese (Northeastern University), T. Melodia (Northeastern University), J. Widmer (IMDEA Networks)",,networking; cellular
CoNEXT,2023,conext2023.txt,,paper,Empowerment of Atypical Viewers via Low-Effort Personalized Modeling of Video Streaming Quality,"L. Peroni (IMDEA Networks Institute and UC3M), S. Gorinsky (IMDEA Networks Institute), F. Tashtarian (Alpen-Adria Universität Klagenfurt), C. Timmerer (Alpen-Adria Universität Klagenfurt)",,networking; vision-video; streaming
CoNEXT,2023,conext2023.txt,,paper,Enhancing the Unlinkability of Circuit-Based Anonymous Communications with k-Funnels,"V. Nunes (INESC-ID / Instituto Superior Tecnico, University of Lisbon), J. Brás (INESC-ID / Instituto Superior Tecnico, University of Lisbon), A. Carvalho (INESC-ID / Instituto Superior Tecnico, University of Lisbon), D. Barradas (University of Waterloo), K. Gallagher (NOVA LINCS & NOVA School of Science and Technology), N. Santos (INESC-ID / Instituto Superior Tecnico, University of Lisbon)",,networking
CoNEXT,2023,conext2023.txt,,paper,Exploring the Benefits of Carbon-Aware Routing,"S. E. Zahr (University of Oxford), P. Gunning (BT), N. Zilberman (University of Oxford)",,networking; network-operations
CoNEXT,2023,conext2023.txt,,paper,FlexCP: A Scalable Multipath TCP Proxy for Cellular Networks,"D. Kim (KAIST), Y. Moon (Samsung Research), J. Hwang (Sungkyunkwan University), K. Park (KAIST)",,networking; cellular
CoNEXT,2023,conext2023.txt,,paper,Flock: Accurate network fault localization at scale,"V. Harsh (University of Illinois at Urbana-Champaign), T. Meng (University of Illinois at Urbana-Champaign), K. Agrawal (University of Illinois at Urbana-Champaign), B. Godfrey (University of Illinois at Urbana-Champaign/VMware)",,networking; localization-tracking
CoNEXT,2023,conext2023.txt,,paper,LEAF: Navigating Concept Drift in Cellular Networks,"S. Liu (University of Chicago), F. Bronzino (École Normale Supérieure de Lyon), P. Schmitt (University of Hawaii, Manoa), A. N. Bhagoji (University of Chicago), N. Feamster (University of Chicago), H. G. Crespo (Verizon), T. Coyle (Verizon), B. Ward (Verizon)",,networking; cellular
CoNEXT,2023,conext2023.txt,,paper,LEO Satellite vs. Cellular Networks: Exploring the Potential for Synergistic Integration,"B. Hu (University of Southern California), X. Zhang (University of Michigan), Q. Zhang (University of Minnesota - Twin Cities), N. Varyani (University of Minnesota - Twin Cities), Z. Morley Mao (University of Michigan and Google), F. Qian (University of Southern California), Z. Zhang (University of Minnesota - Twin Cities)",,networking; satellite; cellular
CoNEXT,2023,conext2023.txt,,paper,Making Sense of Constellations: Methodologies for Understanding Starlink's Scheduling Algorithms,"H. B. Tanveer (University of Iowa), M. Puchol (Google X), R. Singh (Cornell University), A. Bianchi (Purdue University), R. Nithyanand (University of Iowa)",,networking; satellite
