author,count
Georg Carle,4
Johannes Zirngibl,3
D. Rossi,2
N. Zilberman,2
Z. Zhang,2
O. Gasser,2
G. Carle,2
Moinak Ghoshal,2
Phuc Dinh,2
Yufei Feng,2
Dimitrios Koutsonikolas,2
Gareth Tyson,2
Dec 2025,2
Yu Tian,2
Zhenyu Li,2
Qinghua Wu,2
Gerui Lv,2
Chuanqing Lin,2
Gaogang Xie,2
Patrick Sattler,2
Oliver Gasser,2
Raphael Hiesgen,2
Marcin Nawrocki,2
Thomas C. Schmidt,2
Matthias Wählisch,2
kc Claffy,2
H. Liu,1
Alec F. Diallo,1
P. Patras,1
V. Jain,1
S. M. M. Alam,1
Srikanth V. Krishnamurthy,1
M. Faloutsos,1
A. Huet,1
J. Krolikowski,1
J. M. Navarro,1
F. Chen,1
G. Bartolomeo,1
J. Cao,1
X. Su,1
N. Mohan,1
R. S. Samra,1
M. Barcellos,1
C. Zheng,1
H. Tang,1
M. Zang,1
X. Hong,1
A. Feng,1
L. Tassiulas,1
M. Jiang,1
W. Gong,1
M. Rossanese,1
A. Garcia-Saavedra,1
A. Lutu,1
X. Costa-Perez,1
Y. Liu,1
Q. Li,1
Z. Liu,1
C. Peng,1
S. Lu,1
A. Raman,1
M. Varvello,1
H. Chang,1
N. Sastry,1
Y. Zaki,1
C. Fiandrino,1
L. Bonati,1
S. D'Oro,1
M. Polese,1
T. Melodia,1
J. Widmer,1
L. Peroni,1
S. Gorinsky,1
F. Tashtarian,1
C. Timmerer,1
V. Nunes,1
J. Brás,1
A. Carvalho,1
D. Barradas,1
K. Gallagher,1
N. Santos,1
S. E. Zahr,1
P. Gunning,1
D. Kim,1
Y. Moon,1
J. Hwang,1
K. Park,1
V. Harsh,1
T. Meng,1
K. Agrawal,1
B. Godfrey,1
S. Liu,1
F. Bronzino,1
P. Schmitt,1
A. N. Bhagoji,1
N. Feamster,1
H. G. Crespo,1
T. Coyle,1
B. Ward,1
B. Hu,1
X. Zhang,1
Q. Zhang,1
N. Varyani,1
Z. Morley Mao,1
F. Qian,1
H. B. Tanveer,1
M. Puchol,1
R. Singh,1
A. Bianchi,1
R. Nithyanand,1
T. Caiazzi,1
M. Scazzariello,1
M. Chiesa,1
X. Liu,1
P. Zhang,1
H. Li,1
W. Sun,1
P. Sattler,1
J. Zirngibl,1
M. Jonker,1
R. Holz,1
S. Abdous,1
E. Sharafzadeh,1
S. Ghorbani,1
J. Frieß,1
H. Shulman,1
M. Waidner,1
A. Monterubbiano,1
R. Azorin,1
G. Castellano,1
M. Gallo,1
S. Pontarelli,1
M. S. Lenders,1
C. Amsüss,1
C. Gündogan,1
M. Nawrocki,1
T. Schmidt,1
M. Wählisch,1
M. Sosnowski,1
F. Wiedner,1
E. Hauser,1
L. Steger,1
D. Schoinianakis,1
S. Gallenmüller,1
F. Hilal,1
Minh-Thanh Bui,1
Weiqi Feng,1
Xiaoliang Wang,1
Penghui Mi,1
Yong Zhu,1
Boayi An,1
Yinhua Wang,1
Daiyang Yu,1
Lixiang Wang,1
Xuezhi Yu,1
Qiong Xie,1
Xiang Huang,1
Mingliang Yin,1
Chen Tian,1
Joscha Cüppers,1
RECC: Joint Congestion Control Based on RTT and ECN for High-speed RDMA Networks,1
Sagar Patel,1
Huahai Zhang,1
Stress Testing the DMARC Reporting System: Compliance with Standards and Ways of Improvement,1
SetD4: Sets With Deletions and Decay in the Data Plane,1
Estimating Video Quality Using Coarse-Grained Features: Insights and Limitations from Gaussian Mixture Models,1
PACER: Accelerating Distributed GNN Training Using Communication-Efficient Partition Refinement and Caching,1
Zhaoyuan He,1
Sankalp Mittal,1
Omar Basit,1
Sizhe Wang,1
Imran Khan,1
Zhekun Yu,1
Y. Charlie Hu,1
Black-Box Evasion Attacks on Data-Driven Open RAN Apps: Tailored Design and Experimental Evaluation Long,1
Secure and Efficient RDMA NIC Cryptography Offloading for Memory Disaggregation Short,1
AraOptical System and Testbed for Long-Range,1
High-Capacity FSOC in Rural Wireless X-Haul Networks Long,1
Shooting Large-scale Traffic Engineering by Combining Deep Learning and Optimization Approach Long,1
Yiluo Weil,1
Thursday 04th,1
Md Mumtahin Habib Ullah Mazumder,1
Frost Mitchell,1
Aditya Bhaskara,1
Sneha Kumar Kasera,1
Neal Patwari,1
Matthew Yang Liu,1
Zhaoxue Zhong,1
Ao Li,1
Jiaxing Zhang,1
Xi Wang,1
Jian Mao,1
Jie Xiong,1
Zhenhua Li,1
Farbod Shahinfar,1
Sebastiano Miano,1
Aurojit Panda,1
Gianni Antichi,1
Fahad Hilal,1
Kevin Vermeulen,1
Mattijs Jonker,1
Hossein Shafieirad,1
Amir Shani,1
Manaf Bin-Yahya,1
Seyed Hossein Mortazavi,1
Geng Li,1
Xinle Du,1
Su Tao,1
Wei Wang,1
Jingbin Zhou,1
Majid Ghaderi,1
Jacopo Bufalino,1
Jose Luis Martin Navarro,1
Tuomas Aura,1
Changhan Ge,1
Ajay Mahimkar,1
Zihui Ge,1
Romeo Fernandez,1
Joseph Maniaci,1
Shomik Pathak,1
Maulik Shah,1
Xi Jiang,1
Shinan Liu,1
Saloua Naama,1
Paul Schmitt,1
Nick Feamster,1
Rohan Gandhi,1
Srinivas Narayana Ganapathy,1
Haoran Wan,1
Kyle Jamieson,1
Rajrup Ghosh,1
Christina Suyong Shin,1
