author,count
Bo Li,8
Jie Wu,8
Jinsong Han,8
Sheng Zhang,7
Yang Xu,6
Yunhao Liu,6
Fan Li,6
Jun Luo,6
Xiulong Liu,6
Lei Yang,6
Yipeng Zhou,6
Andres Garcia-Saavedra,6
Xiaoming Fu,5
Marco Fiore,5
Bin Li,5
Laizhong Cui,5
Yetong Cao,5
Zhe Chen,5
Yu Wang,5
Deze Zeng,5
Xuan Liu,5
Jinhang Zuo,5
Lei Xie,5
Xavier Costa-Perez,5
Jianwei Liu,4
Fan Dang,4
Wei Wang,4
Bin Liu,4
Yuting Yan,4
Shuai Wang,4
Dong Zhang,4
Zhenlin An,4
Jiangchuan Liu,4
Yifei Zhu,4
Min Dong,4
Stefan Schmid,4
Lailong Luo,4
Haining Wang,4
Qingkai Meng,4
Xutong Liu,4
Carlee Joe-Wong,4
Jinlong E,4
En Wang,4
Dusit Niyato,4
Xiaofei Wang,4
Fung Po Tso,4
Zhiliang Wang,4
Song Guo,4
Xu Chen,4
John Chi Shing Lui,4
Jose A. Ayala-Romero,4
Carla Fabiana Chiasserini,4
Li Chen,4
Ruidong Li,4
Peng Li,4
Eytan Modiano,3
Don Towsley,3
Haozhao Wang,3
Haipeng Dai,3
Mingjun Xiao,3
Tianchi Huang,3
Rui-Xiao Zhang,3
Chenghu Zhou,3
Chunming Qiao,3
Huangxun Chen,3
Qian Zhang,3
Zheng Yang,3
Chi Lin,3
Lei Wang,3
Jilin Yang and Tang Liu,3
Hong Xu,3
Jianping Wang,3
Quan Chen,3
Jiadi Yu,3
Fu Xiao,3
Chen Tian,3
Hao Xu,3
Chao Cai,3
Lin Gu,3
Guihai Chen,3
Fei Wang,3
Qingsong Liu,3
Binbin Chen,3
Zicong Hong,3
Deke Guo,3
Pengfei Wang,3
Xingwei Wang,3
Kaushik Chowdhury,3
Geyong Min,3
Hao Zhou,3
Angelos Stavrou,3
Marco Fiore and Joerg Widmer,3
Jihong Yu,3
Caihui Du,3
Rongrong Zhang,3
Xiaojun Lin,3
Yan Wang,3
John C.S. Lui,3
Zhiyuan Zhao,3
Lan Luo,3
Kui Wu,3
Hongbo Jiang,3
Shuang Liang,3
Claudio Fiandrino,3
Jiasheng Wu,3
Shaojie Su,3
Wenyu Wang,3
Tao Huang,3
Lin Wang,3
Xiapu Luo,3
Chonghe Zhao,3
Quan Z. Sheng,3
Jianfeng Li,3
Xinwen Fu,3
Salvatore D'Oro,3
Jiaxing Shen,3
Xin Liu,3
Shiwen Mao,3
Yiran Zhang,3
Tao Ren,3
Xiaowen Chu,3
Qing Li,3
Li Zhang,3
Hongzi Zhu,3
Shan Chang,3
Karthikeyan Sundaresan,3
Jiangping Han,3
Xinyu Wang,3
Shuai Hao,3
Xiaoyu Wang,3
Ruozhou Yu,3
Guoliang Xue,3
Xiaonan Zhang,3
Yuru Zhang,3
Nakjung Choi,3
Zitong Jin,3
Xingang Shi,3
Kai Chen,3
Ness B. Shroff,3
Edward W. Knightly,3
Minghui Xu,3
Zhi Zhou,3
Tony Q. S. Quek,3
Fahao Chen,3
Zhao Li,3
Jiao Zhang,3
Jia Liu,3
Atilla Eryilmaz,2
Yang Xiao,2
Alessio Scalingi,2
Domenico Giustiniano,2
Gérôme Bovet,2
Yongheng Deng and Ju Ren,2
Nitish K. Panigrahy,2
Ruiting Zhou,2
Tingting Yuan,2
Liang Mi,2
Weijun Wang,2
Yunming Liao,2
Yingling Mao,2
Miao Pan,2
Chao Zhou,2
Chenglei Wu and Lifeng Sun,2
Hao Li,2
Peng Zhang,2
Fengyuan Ren,2
Baoliu Ye,2
Xinbing Wang,2
Zhuolong Yu,2
Qingyong Hu,2
Hua Kang,2
Qianyi Huang,2
Min Cheng,2
Xiaowu He,2
Yu Sun,2
Wei Yang,2
Jiankang Ren,2
Ying Wan,2
Debashri Roy,2
Yuzhuo Ma,2
Juaren Steiger,2
Bo Ji,2
Ning Lu,2
Mariya Zheleva,2
Jingzong Li,2
Seonghoon Park and Jeho Lee,2
Hojung Cha,2
Yu Chen,2
Rongwei Lu,2
Bin Chen,2
Zhi Wang,2
Ximeng Liu,2
Ye Tian,2
Wei Chen,2
Yan Meng,2
Jiachun Li,2
Sherman Shen,2
Albert Zomaya,2
Lei Jiao,2
Hao Pan,2
Yixuan Guan,2
Xuefeng Liu,2
Chang Liu,2
Wenfei Wu,2
Ming Gao,2
Thomas Hou and Wenjing Lou,2
Shiqiang Wang,2
Tung Anh Nguyen,2
Long Tan Le,2
Haoyu Song,2
Michele Gucciardo and Marco Fiore,2
Yadong Xie,2
Hao Cao,2
Vishrant Tripathi,2
Nicholas W Jones and Eytan Modiano,2
Xuedou Xiao,2
Dan Li,2
Hongmin Geng,2
Zhexiong Li,2
Longfei Shangguan,2
Qiao Xiang,2
Roy Yates,2
Ivan Beschastnikh,2
Qun Huang,2
Chunming Wu,2
Hewu Li,2
Jiahui Sun,2
Haiming Jin,2
Jiannong Cao,2
Yanwen Wang,2
Zifan Jia,2
Xiaoyan Gu,2
Bo Li and Weiping Wang,2
Baochun Li,2
Leandros Tassiulas,2
Jianting Zhang,2
Chen Wuhui,2
Dan Xia,2
Xiaolong Zheng,2
Liang Liu and Huadong Ma,2
Shaohuai Shi,2
Zhichao Cao,2
Guoju Gao,2
Li Liu,2
Chengxi Gao,2
Vini Chaudhary,2
Kun Xie,2
Gaogang Xie,2
Wangqiu Zhou,2
Zhi Liu,2
Rong Ding,2
Xuefeng Liu and Jianwei Niu,2
Huichen Dai,2
Xiaoliang Wang,2
Maciej Pacut,2
Zhaochen She,2
Xin Wang and Richard T. B. Ma,2
Junhao Wang,2
Lan Zhang,2
Yucheng Xie,2
Xiaonan Guo,2
Jerry Cheng,2
Yingying Chen,2
Meixuan Ren,2
Tang Liu,2
Kaiyan Cui,2
Yuanqing Zheng,2
Yue Gao,2
Pengfei Hu,2
Chuyu Wang,2
Dinesh Bharadia,2
Ming Yang and Zhen Ling,2
Zixia Liu,2
Xiaodan Gu,2
Zijian Zhang,2
Juncheng Wang,2
Bing Hu and Yuanguo Bi,2
Rasoul Behravesh,2
David Breitgand,2
Dean H Lorenz,2
Cheng Zhang,2
Yaoxue Zhang,2
Penghao Wang,2
Xiong Wang,2
Xi Sun,2
Andong Zhu,2
Ke Cheng,2
Xiaohang Shi,2
Zhuzhong Qian and Sanglu Lu,2
Howard Yang,2
Eiji Oki,2
Bijoy Chand Chatterjee,2
Hong-Ning Dai,2
Zibin Zheng,2
Shan Zhang,2
Chaolei Hu,2
Chenren Xu,2
Zhibo Wang,2
Xiaoyi Pang,2
Yongle Chen,2
Kui Ren,2
Suyash Sunay Pradhan,2
Xiaoquan Zhang,2
Yuhui Deng,2
Weijia Jia,2
Victor C.M. Leung,2
Shengli Zhang and Taotao Wang,2
Zheng Lin and Xiaobo Ma,2
Xiaohong Guan,2
Shan Wang,2
Dheeraj Narasimha,2
Srinivas G Shakkottai,2
Dié Wu and Jing Gao,2
Guoming Zhang,2
Yanni Yang and Pengfei Hu,2
Ruiqi Wang and Guohong Cao,2
Erika R. Bérczi-Kovács,2
Péter Gyimesi,2
Yifan Yang,2
Wei Gong,2
Jingao Xu,2
Xiaoxin Su,2
Xingqiu He,2
Sangtae Ha,2
Kyunghan Lee,2
Liekang Zeng,2
Gareth Tyson,2
Weisen Liu,2
Zhetao Li,2
Junkai Wang,2
Yuedong Xu,2
Yinan Zhu,2
Leonardo Lo Schiavo,2
Yu Gu,2
Jinyu Chen,2
Leqi Zhao,2
Xiaochen Liu,2
Rui Han,2
Shaoyuan Huang,2
Shengyu Zhang,2
Yanyan Wang,2
Marco Levorato,2
Peng Cheng,2
Yusheng Ji,2
Tommaso Melodia,2
He Huang,2
Jingyang Hu,2
Gabriel-Miro Muntean,2
Yu Liang,2
Pavel Chuprikov,2
Patrick Eugster,2
Sanglu Lu,2
Guangchi Liu,2
