tag,CoNEXT,INFOCOM,MMSys,MobiCom,MobiHoc,MobiSys,NSDI,PerCom,SIGCOMM,SIGSPATIAL,SSRR,SenSys,UbiComp
networking,80,836,0,0,0,0,0,0,220,0,0,0,0
mobile-systems,0,0,0,271,104,126,0,0,0,0,0,0,0
pervasive-computing,0,0,0,0,0,0,0,94,0,0,0,0,273
systems-networking,0,0,0,0,0,0,257,0,0,0,0,0,0
vision-video,4,43,82,31,2,12,14,14,15,13,6,11,4
ml-systems,2,83,3,23,12,13,15,8,24,22,3,15,5
multimedia-systems,0,0,193,0,0,0,0,0,0,0,0,0,0
geospatial-systems,0,0,0,0,0,0,0,0,0,182,0,0,0
sensor-systems,0,0,0,0,0,0,0,0,0,0,0,156,0
localization-tracking,5,30,5,21,6,15,2,12,3,7,7,18,20
network-operations,6,44,11,5,2,0,32,2,38,7,1,0,0
security-privacy,2,51,2,24,10,7,4,7,3,3,3,13,10
measurement-analysis,3,29,6,16,1,4,10,6,17,4,8,8,10
robotics,0,2,1,3,0,0,0,0,0,0,110,1,2
cloud-systems,2,37,15,7,1,1,19,2,27,1,1,3,1
llm,2,27,4,11,4,6,8,1,11,12,3,12,11
streaming,5,17,50,7,2,4,11,0,12,0,0,1,1
federated-learning,0,71,2,7,11,3,1,4,1,1,0,5,3
