tag,CoNEXT,INFOCOM,MMSys,MobiCom,MobiHoc,MobiSys,NSDI,PerCom,SIGCOMM,SIGSPATIAL,SSRR,SenSys,UbiComp
networking,0.07,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0
mobile-systems,0.0,0.0,0.0,0.54,0.21,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pervasive-computing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.74
systems-networking,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
vision-video,0.02,0.17,0.33,0.12,0.01,0.05,0.06,0.06,0.06,0.05,0.02,0.04,0.02
ml-systems,0.01,0.36,0.01,0.1,0.05,0.06,0.07,0.04,0.11,0.1,0.01,0.07,0.02
multimedia-systems,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
geospatial-systems,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
sensor-systems,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
localization-tracking,0.03,0.2,0.03,0.14,0.04,0.1,0.01,0.08,0.02,0.05,0.05,0.12,0.13
network-operations,0.04,0.3,0.07,0.03,0.01,0.0,0.22,0.01,0.26,0.05,0.01,0.0,0.0
security-privacy,0.01,0.37,0.01,0.17,0.07,0.05,0.03,0.05,0.02,0.02,0.02,0.09,0.07
measurement-analysis,0.02,0.24,0.05,0.13,0.01,0.03,0.08,0.05,0.14,0.03,0.07,0.07,0.08
robotics,0.0,0.02,0.01,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.01,0.02
cloud-systems,0.02,0.32,0.13,0.06,0.01,0.01,0.16,0.02,0.23,0.01,0.01,0.03,0.01
llm,0.02,0.24,0.04,0.1,0.04,0.05,0.07,0.01,0.1,0.11,0.03,0.11,0.1
streaming,0.05,0.15,0.45,0.06,0.02,0.04,0.1,0.0,0.11,0.0,0.0,0.01,0.01
federated-learning,0.0,0.65,0.02,0.06,0.1,0.03,0.01,0.04,0.01,0.01,0.0,0.05,0.03
