conference,CoNEXT,INFOCOM,MMSys,MobiCom,MobiHoc,MobiSys,NSDI,PerCom,SIGCOMM,SIGSPATIAL,SSRR,SenSys,UbiComp
CoNEXT,1.0,0.47,0.48,0.45,0.46,0.41,0.61,0.5,0.48,0.43,0.41,0.43,0.38
INFOCOM,0.47,1.0,0.58,0.8,0.61,0.77,0.68,0.64,0.67,0.39,0.49,0.84,0.65
MMSys,0.48,0.58,1.0,0.51,0.55,0.47,0.48,0.64,0.52,0.54,0.62,0.54,0.55
MobiCom,0.45,0.8,0.51,1.0,0.62,0.82,0.64,0.56,0.59,0.33,0.5,0.85,0.62
MobiHoc,0.46,0.61,0.55,0.62,1.0,0.63,0.61,0.57,0.5,0.41,0.43,0.57,0.58
MobiSys,0.41,0.77,0.47,0.82,0.63,1.0,0.65,0.57,0.51,0.32,0.5,0.82,0.67
NSDI,0.61,0.68,0.48,0.64,0.61,0.65,1.0,0.5,0.62,0.35,0.34,0.63,0.51
PerCom,0.5,0.64,0.64,0.56,0.57,0.57,0.5,1.0,0.48,0.5,0.52,0.59,0.67
SIGCOMM,0.48,0.67,0.52,0.59,0.5,0.51,0.62,0.48,1.0,0.43,0.41,0.54,0.42
SIGSPATIAL,0.43,0.39,0.54,0.33,0.41,0.32,0.35,0.5,0.43,1.0,0.46,0.35,0.32
SSRR,0.41,0.49,0.62,0.5,0.43,0.5,0.34,0.52,0.41,0.46,1.0,0.49,0.48
SenSys,0.43,0.84,0.54,0.85,0.57,0.82,0.63,0.59,0.54,0.35,0.49,1.0,0.69
UbiComp,0.38,0.65,0.55,0.62,0.58,0.67,0.51,0.67,0.42,0.32,0.48,0.69,1.0
