title_word,count
microsoft,13
network,12
networks,10
university,9
acm,9
artifacts,8
open,6
data,6
research,6
india,5
kth,5
royal,5
institute,5
technology,5
israel,5
available,5
performance,4
video,4
streaming,4
traffic,4
uclouvain,4
large-scale,4
dynamic,4
quic,4
detection,3
applications,3
scale,3
routing,3
cellular,3
scheduling,3
switches,3
dns,3
management,3
ben,3
evaluated,3
functional,3
location,3
scanning,3
distributed,2
edge,2
volumetric,2
attacks,2
in-network,2
computing,2
analysis,2
misconfigurations,2
resource,2
control,2
satellite,2
ran,2
enhancing,2
exploring,2
carbon-aware,2
scalable,2
localization,2
understanding,2
algorithms,2
plane,2
practical,2
large,2
language,2
models,2
cloud,2
design,2
college,2
london,2
gurion,2
shir,2
landau,2
feibish,2
jonathan,2
diamant,2
operational,2
services,2
evaluating,2
deployments,2
clusters,2
enabling,2
congestion,2
system,2
best,2
community,2
award,2
ipv6,2
amoeba,1
circumventing,1
ml-supported,1
censorship,1
adversarial,1
reinforcement,1
learning,1
c2store,1
server,1
profiles,1
your,1
fingertips,1
change,1
point,1
wlans,1
random,1
forests,1
characterizing,1
mobile,1
augmented,1
reality,1
ddos2vec,1
flow-level,1
characterisation,1
ddos,1
dinc,1
dances,1
blues,1
harnessing,1
multi-frequency,1
carriers,1
commodity,1
bluetooth,1
backscatter,1
data-driven,1
cost-performance,1
trade-off,1
reconfigurable,1
intelligent,1
surfaces,1
production,1
dependent,1
radio,1
dissecting,1
operators,1
explora,1
explainability,1
empowerment,1
atypical,1
viewers,1
low-effort,1
personalized,1
modeling,1
quality,1
unlinkability,1
circuit-based,1
anonymous,1
communications,1
k-funnels,1
benefits,1
flexcp,1
multipath,1
tcp,1
proxy,1
flock,1
accurate,1
fault,1
leaf,1
navigating,1
concept,1
drift,1
leo,1
potential,1
synergistic,1
integration,1
making,1
sense,1
constellations,1
methodologies,1
starlink's,1
millions,1
low-latency,1
state,1
insertions,1
asic,1
modular,1
verification,1
compositional,1
packed,1
brim,1
investigating,1
impact,1
highly,1
responsive,1
prefixes,1
internet-wide,1
measurement,1
campaigns,1
packet,1
deflection,1
datacenters,1
revocation,1
speedrun,1
how,1
webpki,1
copes,1
fraudulent,1
certificates,1
spada,1
sparse,1
approximate,1
structure,1
representation,1
per-flow,1
monitoring,1
securing,1
name,1
resolution,1
iot,1
coap,1
post-quantum,1
tls,1
yarrpbox,1
detecting,1
middleboxes,1
internet-scale,1
systematic,1
comparison,1
intrusion,1
bhaskar,1
kataria,1
palak,1
lnu,1
rahul,1
bothra,1
uiuc,1
rohan,1
gandhi,1
debopam,1
bhattacherjee,1
venkata,1
padmanabhan,1
irena,1
atov,1
sriraam,1
ramakrishnan,1
somesh,1
chaturmohta,1
chakri,1
kotipalli,1
rui,1
liang,1
ken,1
sueda,1
xin,1
kevin,1
hinton,1
edgecross,1
peering,1
edges,1
flowchronicle,1
synthetic,1
flow,1
generation,1
pattern,1
set,1
mining,1
hamid,1
ghasemirahni,1
alireza,1
farshin,1
nvidia,1
mariano,1
scazzariello,1
gerald,1
maguire,1
dejan,1
kosti,1
marco,1
chiesa,1
practically,1
high,1
performant,1
neural,1
adaptive,1
rond,1
rethinking,1
overlay,1
underlay,1
awareness,1
basat,1
gil,1
einziger,1
wenchen,1
han,1
bilal,1
tayh,1
aviya,1
ozery,1
thomas,1
wirtgen,1
nicolas,1
rybowski,1
cristel,1
pelsser,1
olivier,1
bonaventure,1
vigor,1
reviving,1
gaming,1
sessions,1
iguard,1
efficient,1
isolation,1
forest,1
malicious,1
programmable,1
first,1
study,1
standalone,1
results,1
reproduced,1
empirical,1
nostr,1
social,1
banquet,1
harbour,1
cruise,1
bauhinia,1
bridging,1
gaps,1
wireless,1
physics-informed,1
augmentation,1
cost-efficient,1
request,1
mapping,1
live,1
demystifying,1
ebpf,1
ecseptional,1
nameserver,1
ecs,1
response-aware,1
harmonics,1
collective,1
multi-tenant,1
gpu,1
inside,1
job,1
defending,1
kubernetes,1
against,1
iridescence,1
improving,1
configuration,1
tuning,1
presence,1
confounders,1
nsa,1
jiti,1
model,1
serving,1
just-in-time,1
inference,1
knapsacklb,1
performance-aware,1
layer-4,1
load,1
balancing,1
l4span,1
spanning,1
signaling,1
nextg,1
interactive,1
livo,1
bandwidth-adaptive,1
fully-immersive,1
conferencing,1
maestro,1
qoe-aware,1
allocation,1
wi-fi,1
moonem,1
high-precision,1
path,1
property,1
emulation,1
dpdk,1
morphos,1
extensible,1
networked,1
operating,1
netfridges,1
frequency,1
scaling,1
opcm,1
opportunistic,1
performance-driven,1
connectivity,1
long,1
oceanus,1
flows,1
achieve,1
cost-efficiency,1
uncertainties,1
cdns,1
steps,1
pacing,1
strategies,1
implementations,1
internet,1
subnet-router,1
anycast,1
probing,1
sepanet,1
full-system,1
simulation,1
systems,1
spectracert,1
hierarchical,1
spectrum,1
license,1
enforcement,1
spotlight,1
shining,1
light,1
pivot,1
student,1
dinner,1
china,1
gardens,1
switchnic,1
tightly-coupled,1
heterogeneous,1
platform,1
accelerate,1
functions,1
aleph,1
decoding,1
ptr,1
records,1
three,1
faces,1
networking,1
city-level,1
bgp,1
communities,1
unveiling,1
dynamics,1
vccanalyzer,1
identifying,1
used,1
vivisecting,1
beam,1
mmwave,1
waiting,1
passive,1
measurements,1
understand,1
