title_word,count
learning,114
networks,98
network,83
federated,71
edge,59
efficient,44
framework,43
data,40
online,39
optimization,34
mobile,33
adaptive,33
distributed,32
scheduling,32
inference,31
detection,31
video,30
dynamic,30
wireless,29
model,29
collaborative,28
traffic,27
sensing,26
communication,25
heterogeneous,24
systems,23
enabling,22
control,22
computing,21
devices,20
neural,20
system,19
approach,18
attacks,18
deep,18
information,18
fast,18
models,18
routing,17
streaming,17
satellite,17
analytics,16
service,16
mmwave,16
large,16
accelerating,15
optimal,15
training,15
channel,15
radio,15
graph,14
in-network,14
scalable,14
cloud,14
quantum,13
tracking,13
deployment,13
programmable,13
congestion,13
iot,13
real-time,13
wi-fi,13
backscatter,13
reinforcement,12
generation,12
applications,12
packet,12
caching,12
protocol,12
prediction,12
decentralized,11
time,11
resource,11
management,11
switches,11
measurement,11
practical,11
leo,11
rdma,11
language,11
algorithm,10
monitoring,10
exploiting,10
consensus,10
sharing,10
serverless,10
fine-grained,10
age,10
smart,10
learning-based,10
access,10
sparse,10
latency,10
large-scale,10
llm,10
blockchain,9
delay,9
distribution,9
minimizing,9
mimo,9
lora,9
high,9
live,9
recognition,9
against,9
path,9
eavesdropping,9
robust,9
power,9
localization,9
multi-user,9
acoustic,9
spectrum,9
performance,8
end-to-end,8
function,8
multiple,8
communication-efficient,8
gradient,8
rfid,8
storage,8
adaptation,8
orchestration,8
stateful,8
fingerprinting,8
attack,8
bandits,8
privacy,8
low,8
serving,8
cooperative,8
transformer,8
discovery,7
classification,7
hierarchical,7
transfer,7
configuration,7
joint,7
achieving,7
engineering,7
clouds,7
compression,7
update,7
key,7
energy-efficient,7
analysis,7
energy,7
feature,7
flexible,7
flow,7
internet,7
placement,7
effective,7
beamforming,7
lightweight,7
offloading,7
communications,7
intelligence,7
o-ran,7
processing,6
crowdsensing,6
stochastic,6
optical,6
mechanism,6
asynchronous,6
switch,6
charging,6
interference,6
link,6
verification,6
tags,6
aggregation,6
highly,6
secure,6
anomaly,6
gpu,6
application,6
allocation,6
parallel,6
elastic,6
backdoor,6
vehicular,6
mixture-of-experts,6
radar,6
topology,6
signal,6
human,6
field,6
fusion,6
method,6
maximization,6
autonomous,6
semantic,6
collaboration,6
fair,6
perception,6
virtual,6
services,6
open,6
ipv6,6
cots,6
personalized,6
environments,6
guarantees,6
knowledge,5
entanglement,5
decoding,5
edge-assisted,5
incentive,5
millimeter-wave,5
breaking,5
limit,5
awareness,5
networking,5
scheme,5
constrained,5
connection,5
multi-agent,5
digital,5
design,5
high-speed,5
industrial,5
detecting,5
authentication,5
magnetic,5
your,5
underwater,5
one,5
transmission,5
private,5
policy,5
spatio-temporal,5
recovery,5
map,5
task,5
geo-distributed,5
positioning,5
enhanced,5
accurate,5
cache,5
split,5
matrix,5
modeling,5
optimizing,5
proactive,5
user,5
queueing,4
completion,4
constraints,4
web,4
commodity,4
throughput,4
compressed,4
sharding,4
pruning,4
quantization,4
bandit,4
contrastive,4
cost-effective,4
datacenter,4
reconfigurable,4
randomized,4
cross-technology,4
memory,4
device,4
leakage,4
gradients,4
random,4
interactive,4
temporal,4
pattern,4
passive,4
you,4
range,4
cost,4
resource-efficient,4
encoding,4
generative,4
combinatorial,4
container,4
capacity,4
delivery,4
estimation,4
unknown,4
push,4
exploring,4
tcp,4
bandwidth,4
securing,4
differential,4
indoor,4
tomography,4
crowdsourced,4
expediting,4
adversarial,4
activity,4
probabilistic,4
feedback,4
vibration,4
moving,4
downlink,4
environment,4
frequency,4
intrusion,4
multipath,4
analytical,4
location,4
ethereum,4
delayed,4
selection,4
interface,4
pressure,4
space,4
gesture,4
uav,4
diffusion,4
continual,4
scaling,4
node,4
multimodal,4
exploration,4
sampling,4
robustness,4
plane,4
channels,4
low-latency,4
llms,4
reconstruction,4
gaussian,4
bayesian,3
platforms,3
neural-enhanced,3
slam,3
minimization,3
impairments,3
unlearning,3
batching,3
massive,3
synthesis,3
time-sensitive,3
secret,3
concurrent,3
wave,3
safety,3
switching,3
modulation,3
blocking,3
cross-device,3
crowd,3
crowdsourcing,3
social,3
improving,3
de-anonymization,3
inspection,3
self-supervised,3
oblivious,3
enhancement,3
demand-aware,3
graphs,3
datacenters,3
hardware,3
enable,3
aoi,3
spatial,3
general,3
scheduler,3
speaker,3
table,3
motion,3
event,3
cameras,3
gnn,3
heart,3
in-ear,3
machine,3
speech,3
microservice,3
contract,3
aware,3
security,3
rate,3
sensor,3
enough,3
production,3
tag,3
forgery,3
videos,3
object,3
planning,3
opportunistic,3
ieee,3
prism,3
resource-aware,3
receivers,3
bluetooth,3
not,3
resilient,3
computation,3
in-band,3
reliable,3
partially,3
vulnerabilities,3
series,3
ofdm,3
tunable,3
free,3
demand,3
cloud-edge,3
voice,3
sound,3
directional,3
multiplexing,3
software-defined,3
near,3
chains,3
mec,3
gait,3
dpu,3
empowering,3
complexity,3
edge-cloud,3
transactions,3
remote,3
signals,3
dependency-aware,3
data-driven,3
cross-layer,3
ambient,3
light,3
multi-armed,3
lte,3
acceleration,3
codes,3
mining,3
metasurface,3
generalized,3
qos,3
cross-shard,3
super-resolution,3
contextual,3
sources,3
multi-task,3
uplink,3
wifi,3
vision,3
aerial,3
wearable,3
behavior,3
imputation,3
earth,3
fields,3
ran,3
finding,3
streams,3
transparent,3
leveraging,3
division,3
filter,3
construction,3
accelerate,3
fine-tuning,3
synchronization,3
theory,3
operations,3
unified,3
single,3
covert,3
fuzzing,3
anchor,3
active,3
pipeline,3
novel,3
parallelism,3
intelligent,3
over-the-air,3
drift,3
blockchains,3
resource-constrained,3
enhancing,3
ground,3
convergence,3
encrypted,3
state,3
how,3
block,3
non-intrusive,3
guarantee,3
unreliable,3
anycast,3
speculative,3
when,3
meets,3
low-overhead,3
study,3
embedding,3
automated,3
mitigating,3
selective,3
twin,3
queue,3
oracle,2
minimum,2
clustered,2
compensation,2
automatic,2
code,2
minimal,2
loss,2
uncertainty,2
sleep,2
buffer,2
extra,2
burst,2
line-rate,2
software,2
features,2
label,2
propagation,2
source,2
cost-efficient,2
csi,2
order,2
rules,2
sensors,2
concurrency,2
tcam,2
sdn,2
communication-aware,2
costs,2
api,2
dispatch,2
trust,2
time-varying,2
dune,2
metaverse,2
fault-tolerant,2
compact,2
root,2
pipelines,2
moir,2
functions,2
direct,2
message,2
360-degree,2
energy-aware,2
harvesting,2
electromagnetic,2
home,2
smartphone,2
benchmark,2
comprehensive,2
evaluation,2
flow-level,2
drones,2
merging,2
sounds,2
learning-enhanced,2
hear,2
microphone,2
speed,2
layer,2
pulling,2
strategy,2
startup,2
structure,2
which,2
fresh,2
mercury,2
transaction,2
built-in,2
expert,2
header,2
stealthy,2
more,2
multi-objective,2
urban,2
vehicles,2
constellations,2
end,2
users,2
poisoning,2
region,2
gossip,2
similarity,2
learned,2
predictions,2
self-adjusting,2
prophet,2
deterministic,2
11ax,2
pipelining,2
high-throughput,2
differentially,2
privacy-preserving,2
indexing,2
small,2
ladder,2
program,2
hardening,2
but,2
qoe,2
floor,2
connectivity,2
preserving,2
informed,2
fairness,2
commercial,2
authorization,2
forecasting,2
explainable,2
optimized,2
local,2
vertical,2
sustainable,2
mmwave-based,2
variance-adaptive,2
maximum,2
coverage,2
dynamics,2
device-free,2
who,2
demystifying,2
promising,2
contact-free,2
tuning,2
nvme,2
multi-modal,2
core,2
freenet,2
generic,2
