title_word,count
sensing,38
mobile,33
devices,23
wireless,16
system,15
enabling,15
mmwave,14
iot,13
learning,12
efficient,11
video,11
lora,11
monitoring,11
autonomous,10
communication,10
detection,10
signals,9
rfid,8
radar,8
metasurfaces,8
localization,7
applications,7
neural,7
federated,7
backscatter,7
wifi,7
practical,7
wi-fi,7
passive,7
human,7
edge,6
driving,6
inference,6
accurate,6
indoor,6
real-time,6
systems,6
exploiting,6
power,6
networks,6
underwater,6
signal,6
heterogeneous,6
fine-grained,5
commodity,5
speech,5
privacy,5
fully,5
live,5
single,5
cameras,5
scheduling,5
low-cost,5
attacks,5
training,5
data,5
attack,5
imaging,5
estimation,5
service,5
adaptive,5
streaming,5
robust,4
environments,4
battery-free,4
wideband,4
tags,4
against,4
privacy-preserving,4
positioning,4
volumetric,4
delivery,4
analytics,4
transmission,4
tag,4
ble,4
boosting,4
recognition,4
drone,4
device,4
network,4
on-device,4
cellular,4
low,4
adversarial,4
camera,4
dynamic,4
image,4
vision,4
radio,4
beamforming,4
moir,4
exploring,4
automated,4
networking,3
multipath,3
concurrent,3
vehicle,3
spectrum,3
mapping,3
enhancing,3
beyond,3
profiling,3
memory,3
platform,3
gps,3
mimo,3
content,3
time,3
super-resolution,3
visual,3
cross-technology,3
interference,3
flexible,3
satellite,3
traffic,3
robots,3
non-invasive,3
channels,3
rethinking,3
design,3
programming,3
channel,3
magnetic,3
acoustic,3
optimizing,3
activity,3
quantum,3
implementation,3
sensors,3
sign,3
language,3
natural,3
framework,3
ubiquitous,3
diffusion,3
lidar,3
high-resolution,3
hydra,3
frequency,3
plug-and-play,3
transparent,3
multi-user,3
motion,3
energy,3
scalable,3
receiver,3
access,3
audio,3
videos,3
pushing,3
hierarchical,3
processing,3
collaborative,3
dnn,3
llm,3
radars,3
polarization,2
leo,2
large-scale,2
deployment,2
making,2
blind,2
users,2
reality,2
architecture,2
adaptation,2
multimodal,2
aerial,2
drones,2
microphone,2
eavesdropping,2
core,2
android,2
nlp,2
fast,2
virtualized,2
massive,2
smartphones,2
rendering,2
fields,2
revisiting,2
improving,2
surfaces,2
ran,2
experiences,2
large,2
digital,2
spatial,2
soc,2
electronics-free,2
weak,2
links,2
reliable,2
cardiac,2
hearables,2
millimeter,2
wave,2
performance,2
cost-effective,2
continual,2
high-fidelity,2
pervasive,2
contactless,2
charging,2
user,2
few-shot,2
empower,2
backdoor,2
speaker,2
detecting,2
gpu,2
leakage,2
air,2
mmwave-based,2
guiding,2
metasurface,2
capability,2
adopting,2
scenes,2
fiducial,2
cots,2
scattering,2
theory,2
screen,2
perturbation,2
search,2
wearable,2
scaling,2
generalized,2
pose,2
tracking,2
infrastructure-assisted,2
virtual,2
app,2
testing,2
scale,2
efficiency,2
high-throughput,2
security,2
voice,2
injection,2
optical,2
machine,2
physical,2
novel,2
heterogeneity,2
generation,2
emergency,2
embracing,2
ground,2
malicious,2
fusion,2
map,2
slam,2
sharing,2
gnss,2
assistance,2
medium,2
interfaces,2
demystifying,2
effects,2
shift,2
multi-modal,2
feedback,2
your,2
resource-constrained,2
computing,2
routing,2
resources,2
pipeline,2
parallelism,2
open,2
o-ran,2
task,2
automation,2
point,2
model,2
optimization,2
on-demand,2
low-power,2
disease,2
remote,2
earphones,2
soil,2
