title_word,count
sensing,13
mobile,13
backscatter,11
devices,9
mmwave,9
inference,8
wireless,7
localization,7
acoustic,6
reality,6
efficient,6
practical,6
leveraging,6
system,6
iot,6
communication,6
edge,5
learning,5
heterogeneous,5
low-cost,5
framework,5
speech,4
live,4
lora,4
monitoring,4
voice,4
wifi,4
networks,4
parallel,4
video,4
enhancing,4
detection,4
tracking,4
real-time,4
privacy,3
protection,3
low-power,3
boosting,3
data,3
systems,3
energy,3
federated,3
end-to-end,3
on-device,3
training,3
enabling,3
robust,3
object,3
recognition,3
commodity,3
model,3
neural,3
audio,3
streaming,3
headsets,3
offloading,3
serving,3
adaptive,3
metasurface,3
radar,3
models,3
mixed,3
in-band,3
dynamic,3
embedded,3
finger,2
smartphone,2
dnn,2
long,2
range,2
augmented,2
multi-user,2
high-speed,2
assistant,2
attacks,2
earbuds,2
selection,2
deep,2
control,2
analog,2
detecting,2
enable,2
long-range,2
tags,2
low,2
network,2
passive,2
sign,2
facial,2
pose,2
sensors,2
surface,2
single,2
cots,2
receiver,2
vibration,2
link,2
camera,2
reconstruction,2
signals,2
imaging,2
optimization,2
dynamically,2
context-aware,2
encoding,2
fine-grained,2
your,2
activation,2
architecture,2
face,2
conditions,2
ofdm,2
generative,2
optical,2
autonomous,2
content-aware,2
image,2
nerf,2
immersive,2
applications,2
optimizing,2
gpus,2
online,2
slam,2
understanding,2
volumetric,2
ultra-wideband,2
vehicle,2
foundation,2
logical,2
channels,2
collaborative,2
language,2
lidar,2
llm,2
intelligent,2
this,1
president,1
speaking,1
tamper-proofing,1
recordings,1
biocase,1
touches,1
case,1
mini-structures,1
bioscatter,1
sweat,1
cold,1
potential,1
bystandar,1
protecting,1
bystander,1
visual,1
contactless,1
material,1
identification,1
millimeter,1
wave,1
vibrometry,1
convrelu,1
reference-based,1
lossless,1
acceleration,1
conv-relu,1
operations,1
cpu,1
df-sense,1
heartbeat,1
dualforming,1
eefl,1
communications,1
inspired,1
emsassist,1
emergency,1
medical,1
services,1
echoattack,1
inaudible,1
smart,1
elastictrainer,1
speeding,1
runtime,1
elastic,1
tensor,1
native,1
connectivity,1
ambient,1
fusang,1
graph-inspired,1
accurate,1
harmony,1
multi-modal,1
disentangled,1
harvnet,1
resource-optimized,1
operation,1
multi-exit,1
harvesting,1
hawkeye,1
hectometer-range,1
subcentimeter,1
large-scale,1
industrial,1
knee-jerk,1
in-network,1
simultaneous,1
planning,1
tsn,1
switch,1
leggiero,1
payload,1
transparency,1
leopardseal,1
call,1
interception,1
rogue,1
base,1
stations,1
locra,1
minimizing,1
smartphone's,1
tcb,1
security-critical,1
programs,1
exclusively-used,1
physically-isolated,1
statically-partitioned,1
hardware,1
mixmax,1
batteries,1
alleviate,1
battery,1
experience,1
users,1
mozart,1
tof,1
dark,1
phase,1
manipulation,1
nn-stretch,1
automatic,1
branching,1
multi-processors,1
more,1
companion,1
apps,1
hacking,1
but,1
one,1
dongle,1
hub-based,1
blackbox,1
fuzzing,1
firmware,1
omnilive,1
super-resolution,1
enhanced,1
ptease,1
objective,1
airway,1
examination,1
pulmonary,1
telemedicine,1
smartphones,1
vital,1
vibrations,1
rofin,1
hand,1
reconstructing,1
rolling,1
fingertips,1
signiphy,1
reconciling,1
random,1
access,1
directional,1
reception,1
wlans,1
sirius,1
self-localization,1
resource-constrained,1
smartshell,1
near-field,1
reflective,1
rss,1
soundsieve,1
seconds-long,1
event,1
intermittently-powered,1
timespan-based,1
bone-conducted,1
enhancement,1
head-mounted,1
wearables,1
seamless,1
connection,1
when,1
vlc,1
meets,1
under-screen,1
hearing,1
screening,1
mm3dface,1
nonintrusive,1
arise,1
high-capacity,1
proactive,1
scheduling,1
metasurface-based,1
joint,1
automated,1
cryptographic,1
inconsistencies,1
android's,1
keymaster,1
implementations,1
cactus,1
switchable,1
micro-classifiers,1
cw-acouslen,1
configurable,1
wideband,1
chirptransformer,1
versatile,1
wide-area,1
coacto,1
coactive,1
concurrent,1
execution,1
empowering,1
in-browser,1
just-in-time,1
kernel,1
hands-free,1
earphones,1
phased-mimo,1
f2key,1
converting,1
private,1
key,1
headphones,1
reliable,1
interaction,1
harsh,1
approach,1
fedconv,1
clients,1
freeem,1
uncovering,1
memory,1
emr,1
covert,1
volatile,1
environments,1
frequency-agile,1
in-orchard,1
gateway,1
model-based,1
fingerprinting,1
invisible,1
adversarial,1
stripes,1
traffic,1
against,1
vehicles,1
joey,1
supporting,1
kangaroo,1
mother,1
care,1
computational,1
fabrics,1
limitnet,1
progressive,1
extremely,1
weak,1
maestro,1
analysis-simulation,1
integrated,1
mobiair,1
gas,1
city-scale,1
air,1
quality,1
multirider,1
taming,1
interferences,1
nerfhub,1
profitability,1
e-scooter,1
sharing,1
battery-aware,1
recommendation,1
pantheon,1
preemptible,1
multi-dnn,1
powdew,1
counterfeit,1
powdered,1
food,1
products,1
behind,1
unseen,1
complex,1
backgrounds,1
rfspy,1
eavesdropping,1
conversations,1
out-of-vocabulary,1
