title_word,count
recognition,15
activity,13
learning,12
sensing,11
human,7
edge,7
framework,6
monitoring,6
indoor,5
localization,5
system,5
efficient,5
tracking,5
networks,4
federated,4
data,4
contrastive,4
deep,4
detection,4
real-time,4
wearable,3
computing,3
enabling,3
vision,3
communication,3
environments,3
video,3
analytics,3
vehicle,3
lightweight,3
scalable,3
devices,3
continuous,3
signals,3
models,3
you,3
enhancing,3
robust,3
transfer,3
inference,3
smart,3
dynamic,3
beyond,2
pervasive,2
backscatter,2
single,2
device-free,2
driving,2
domain,2
adaptation,2
privacy-preserving,2
light,2
energy,2
pressure,2
image,2
codes,2
distributed,2
spatial,2
mobile,2
heart,2
rate,2
in-ear,2
leveraging,2
estimation,2
practical,2
wireless,2
ble,2
smartwatches,2
sensor,2
iot,2
logistic,2
scheduling,2
wi-fi,2
scale,2
camera,2
exploring,2
earable-based,2
inertial,2
mmwave,2
radar,2
enhanced,2
safety,2
network,2
feature,2
adaptive,2
class-aware,2
perception,2
teaching,2
risks,2
privacy,2
home,2
acoustic,2
visual,2
dnn,2
benchmark,2
sensor-based,2
now,2
accurate,2
alae-tae-cutmix,1
state-of-the-art,1
sensors,1
intent-based,1
vehicular,1
brainnet,1
improving,1
brainwave-based,1
biometric,1
siamese,1
bumblebee,1
zigbee,1
char,1
composite,1
head-body,1
activities,1
earable,1
device,1
characterisation,1
electric-field,1
link,1
ban,1
multimedia,1
applications,1
multi-person,1
change,1
tof,1
dricon,1
on-device,1
just-in-time,1
context,1
characterization,1
unexpected,1
events,1
emgsense,1
low-effort,1
self-supervised,1
emg,1
gfl,1
non-iid,1
synthetic,1
headmon,1
head,1
dynamics,1
enabled,1
riding,1
maneuver,1
prediction,1
highly,1
responsive,1
batteryless,1
harvesting,1
investigating,1
enhancements,1
predictive,1
coding,1
world,1
words,1
anchor-agnostic,1
transformers,1
fingerprint-based,1
massnet,1
approach,1
body,1
weight,1
extraction,1
ortho-codea,1
orthogonal,1
assisted,1
multiple,1
access,1
preacto,1
cross-camera,1
object,1
pedestrian,1
lidars,1
seek,1
detecting,1
gps,1
spoofing,1
