university,count
Tsinghua University,37
Shanghai Jiao Tong University,29
City University of Hong Kong,22
Michigan State University,22
Nanyang Technological University,21
Zhejiang University,19
University of Pittsburgh,15
The Hong Kong Polytechnic University,13
The Chinese University of Hong Kong,13
Peking University,12
University of Massachusetts Amherst,12
Microsoft,12
Northwest University,12
Carnegie Mellon University,11
"University of California, Los Angeles",11
University of California San Diego,11
University of Science and Technology of China,11
University of Southern California,11
SJTU,11
Beijing University of Posts and Telecommunications,10
The Hong Kong University of Science and Technology,10
Purdue University,9
"Institute for AI Industry Research (AIR), Tsinghua University",9
George Mason University,9
Massachusetts Institute of Technology,8
Microsoft Research,8
Macquarie University,8
Rutgers University,8
Hong Kong University of Science and Technology,8
"University at Buffalo, SUNY",7
Princeton University,7
Microsoft Research Asia,7
University of Illinois Urbana-Champaign,6
Yonsei University,6
Delft University of Technology,6
Rice University,6
Central South University,6
HKUST,6
University of Illinois at Urbana-Champaign,5
Huazhong University of Science and Technology,5
New Jersey Institute of Technology,5
University of Wisconsin-Madison,5
National University of Singapore,5
Duke University,5
University of Minnesota - Twin Cities,4
Beiyou Shenzhen Institute,4
Seoul National University,4
Yale University,4
Google,4
Columbia University,4
HKUST (Guangzhou),4
"UT Austin, MSR Asia Shanghai",4
SUNY at Buffalo,4
"MSRA, UT Austin",4
"University of California, Riverside",4
KAIST,4
National Yang Ming Chiao Tung University,4
Temple University,4
Dalian University of Technology,4
Fudan University,3
The University of Edinburgh,3
University of Virginia,3
Chinese Academy of Sciences,3
University of Colorado Denver,3
University of Washington,3
Xenofon Foukas,3
"University at Buffalo, State University of New York",3
Unaffiliated,3
University of Electronic Science and Technology of China,3
Shenzhen University,3
Simon Fraser University,3
Fusang Zhang,3
Nanjing University,3
University of Michigan,3
The Pennsylvania State University,3
Alibaba Group,3
The University of Hong Kong,3
MSRA,3
Yale,3
University at Buffalo,3
IMDEA Networks Institute,3
Ohio State University,3
"State Key Laboratory for Novel Software Technology, Nanjing University",3
Osaka University,3
Nokia Bell Labs,3
Younsuk Dong,3
University of Florida,3
Sun Yat-sen University,3
"School of Computer Science, Peking University",3
University of Electronic Science and Technology of China (UESTC),3
Wuhan University,3
"School of Computing, KAIST, Korea, Republic of",3
Huawei,2
University of Maryland,2
"TU Delft, Netherlands",2
Snap Research,2
"Shanghai Jiao Tong University, China",2
XYZ10,2
The University of Michigan,2
"Texas A&M University, College Station",2
The University of Texas at Austin,2
UNIST,2
University of Massachusetts Amherst and Microsoft Research Asia,2
The Ohio State University,2
"University of California, Santa Barbara",2
Beijing Jiaotong University,2
Samsung Research America,2
Nippon Telegraph and Telephone Corporation,2
The University of Tokyo,2
"Telecom SudParis, Institut Polytechnique de Paris",2
Shanxi University,2
General Motors,2
"University of California, Los Angeles Computer Science Department",2
Iowa State University,2
Rochester Institute of Technology,2
Chung-Ang University,2
Meta,2
Tsinghua,2
Pennsylvania State University,2
The University of Texas at Arlington,2
"Institute of Computing Technology, Chinese Academy of Sciences",2
"School of Computer Science and Engineering, University of Electronic Science and Technology of China (UESTC), P.R. China",2
Utah State University,2
Nanjing University of Posts and Telecommunications,2
"University of California, Irvine",2
"Guangzhou Urban Planning and Design Survey Research Institute Co., Ltd.",2
Southeast University,2
"Northwest University, China",2
IMDEA Networks Institute and Universidad Carlos III de Madrid,2
EPFL,2
USTC,2
University of Pennsylvania,2
Microsoft Research Asia and University of Massachusetts Amherst,2
HuaZhong University of Science and Technology,2
Cornell University,2
Virginia Tech,2
University of Cambridge,2
Hong Kong Polytechnic University,2
University of Texas at Arlington,2
"School of Software, Shandong University",2
"School of Information Technology and Electrical Engineering, The University of Queensland",2
The State Grid Hubei Electric Power Research Institute,2
University of Texas at Dallas,2
"Eye Center, Wuhan University Renmin Hospital",2
NorthWest University,2
JD Logistics,2
"Korea University, Korea, Republic of",2
"City University of Hong Kong, and Alibaba DAMO Academy",1
Alibaba DAMO Academy,1
Stony Brook University,1
Shanghai University,1
"AsiaInfo Technologies (China), Inc.",1
Shubham Deshmukh,1
Politecnico di Milano and RI.SE Sweden,1
North Carolina State University,1
Accenture,1
University of Essex,1
University of Toronto,1
University of Wisconsin -- Madison,1
UMass Amherst,1
"Sungkyunkwan University, Samsung Electronics",1
Gachon University,1
Samsung Electronics,1
"Dept. of Electrical and Computer Engineering / College of Computing and Informatics, Sungkyunkwan University",1
Harbin Institute of Technology (Shenzhen),1
Case Western Reserve University,1
University of Rochester Medical Center,1
Duke Kunshan University,1
Shanghai Jiao Tong university,1
University of Illinois Urbana- Champaign,1
RMassachusetts Institute of Technology University,1
Jazan University,1
IMDEA Networks,1
AT&T,1
Harvard University,1
Xi'an Jiaotong University,1
DBAPPSecurity,1
"State Key Lab of CAD&CG, Zhejiang University; Microsoft Research",1
"State Key Lab of CAD&CG, Zhejiang University",1
Florida International University,1
DiDi,1
Intel Labs,1
Skylark Wireless LLC,1
UT Dallas,1
Tatsuya Iizuka,1
"Institute of Software, Chinese Academy of Sciences",1
"Peking University and Telecom SudParis, Institut Polytechnique de Paris",1
"Technology and Engineering Center for Space Utilization, Chinese Academy of Sciences",1
National Taiwan University,1
Soochow University,1
University of Michigan and Google,1
UC Riverside,1
"University of California, Los Angeles Linguistics Department",1
Gallaudet University,1
Venkatesh Kodukula,1
Arizona State University,1
State University of New York at Buffalo,1
Univerisity of Virginia,1
Tsinghua University & ByteDance Inc.,1
CNIC of CAS,1
ByteDance Inc.,1
Shanghai Jiao Tong University and Alibaba Group,1
Peking University and Alibaba Group,1
Zhejiang University and Alibaba Group,1
Tsinghua University and Alibaba Group,1
Sun Yat-Sen University,1
