university,count
Tsinghua University,216
"Tsinghua University, China",139
Shanghai Jiao Tong University,88
Microsoft,86
Peking University,78
"Shanghai Jiao Tong University, China",74
Carnegie Mellon University,72
"University of Science and Technology of China, China",63
University of Southern California,62
Microsoft Research,57
Purdue University,52
"Zhejiang University, China",52
"Nanjing University, China",49
Massachusetts Institute of Technology,49
City University of Hong Kong,49
"Beijing University of Posts and Telecommunications, China",48
Northeastern University,47
George Mason University,45
Zhejiang University,45
Michigan State University,45
University of Science and Technology of China,44
Nanyang Technological University,44
Hong Kong University of Science and Technology,42
Rutgers University,40
Alibaba Cloud,39
University of Washington,38
University of Illinois Urbana-Champaign,37
"Beijing Institute of Technology, China",36
University of Maryland,36
Google,36
Princeton University,35
University of Massachusetts Amherst,34
Meta,34
The Chinese University of Hong Kong,33
National University of Singapore,31
Technical University of Munich,30
"The Hong Kong Polytechnic University, Hong Kong",30
The Hong Kong Polytechnic University,30
University of Pittsburgh,30
"Huazhong University of Science and Technology, China",29
"City University of Hong Kong, Hong Kong",29
Nanjing University,26
"Beihang University, China",26
Northwest University,26
Cornell University,25
"Hong Kong University of Science and Technology, Hong Kong",25
"Nanyang Technological University, Singapore",25
"University of California, Los Angeles",24
"Southeast University, China",24
Beijing University of Posts and Telecommunications,24
University of California San Diego,24
"Fudan University, China",23
"The Chinese University of Hong Kong, Hong Kong",23
"Shandong University, China",23
ETH Zurich,23
KAIST,22
"University of Electronic Science and Technology of China, China",22
"Northeastern University, USA",22
"Shenzhen University, China",22
"Tianjin University, China",22
Seoul National University,22
"Sun Yat-sen University, China",21
Emory University,21
Tencent,21
University of Michigan,20
"IMDEA Networks Institute, Spain",20
Harvard University,20
The Hong Kong University of Science and Technology,20
Duke University,20
"Xi'an Jiaotong University, China",19
"Xidian University, China",19
University of Wisconsin-Madison,19
Yonsei University,19
The Ohio State University,19
The University of Tokyo,19
"Jilin University, China",18
Columbia University,18
Zhongguancun Laboratory,18
"University of California, Riverside",17
IMDEA Networks Institute,17
University of Minnesota,17
"The Hong Kong University of Science and Technology, Hong Kong",17
"Zhongguancun Laboratory, China",17
"Peking University, China",17
China,17
Stanford University,17
University of Illinois at Urbana-Champaign,16
University of Chicago,16
Max Planck Institute for Informatics,16
The University of Texas at Austin,16
"Massachusetts Institute of Technology, USA",16
Fudan University,16
"Seoul National University, Korea (South)",16
Shandong University,16
University of New South Wales,16
"University of Toronto, Canada",15
"The Pennsylvania State University, USA",15
"Hunan University, China",15
"Singapore University of Technology and Design, Singapore",15
University of Pennsylvania,15
Virginia Tech,15
New York University,15
Yale University,14
University of Minnesota - Twin Cities,14
Northwestern University,14
"Virginia Tech, USA",14
"The Hong Kong Polytechnic University, China",14
"Carnegie Mellon University, USA",14
"Purdue University, USA",14
Rice University,14
University of Cambridge,14
University of California,14
Nagoya University,14
Xi'an Jiaotong University,13
"The Ohio State University, USA",13
"Macquarie University, Australia",13
"Delft University of Technology, The Netherlands",13
"Simon Fraser University, Canada",13
"Institute for AI Industry Research (AIR), Tsinghua University",13
Macquarie University,13
Tianjin University,13
"University of California, Berkeley",13
University College London,13
ByteDance,12
University of Virginia,12
"Temple University, USA",12
"National University of Singapore, Singapore",12
University at Buffalo,12
University of Florida,12
School of Computer Science,12
Department of Electronic Engineering,12
Nokia Bell Labs,11
"Central South University, China",11
"Wuhan University, China",11
"Dalian University of Technology, China",11
"Michigan State University, USA",11
"Northeastern University, China",11
"Jinan University, China",11
Fusang Zhang,11
Huawei,11
SJTU,11
Osaka University,11
Georgia Institute of Technology,11
Clemson University,11
Texas A&M University,11
University of North Texas,11
Beijing Institute of Technology,11
The University of Melbourne,11
Department of Computer Science,11
University of Chinese Academy of Sciences,10
"Alibaba Group, China",10
"Sichuan Normal University, China",10
Sun Yat-sen University,10
Simon Fraser University,10
Chinese Academy of Sciences,10
Delft University of Technology,10
Shenzhen University,10
The University of Hong Kong,10
Temple University,10
Florida State University,10
Zhejiang University and Alibaba Cloud,10
The University of Edinburgh,9
"Georgia Institute of Technology, USA",9
"Hong Kong Baptist University, Hong Kong",9
"National University of Defense Technology, China",9
North Carolina State University,9
Iowa State University,9
Central South University,9
University of Colorado Boulder,9
Tokyo Institute of Technology,9
"University of Georgia, USA",9
"KDDI Research, Inc.",9
The University of Auckland,9
Johns Hopkins University,8
TU Dresden,8
The Hong Kong University of Science and Technology (Guangzhou),8
HKUST,8
"Zhejiang University & School of Cyber Science and Technology, China",8
"Southern University of Science and Technology, China",8
"Fuzhou University, China",8
"University of Waterloo, Canada",8
"Indian Institute of Technology Kharagpur, India",8
"Arizona State University, USA",8
"China University of Geosciences, China",8
"Soochow University, China",8
"TU Berlin, Germany",8
"The University of Hong Kong, Hong Kong",8
"University of Victoria, Canada",8
"Nokia Bell Labs, USA",8
"Beijing Jiaotong University, China",8
Francesco Restuccia,8
"China Telecom, China",8
Georgia Tech,8
"The Chinese University of Hong Kong, Shenzhen",8
"University at Buffalo, SUNY",8
Microsoft Research Asia,8
ByteDance Inc.,8
EPFL,8
"School of Computer Science, Peking University",8
Brown University,8
Tsinghua University and Alibaba Cloud,8
Korea Advanced Institute of Science and Technology,8
USC Information Sciences Institute,8
University of New Mexico,8
IMDEA Networks,7
Huawei Technologies,7
University of Calgary,7
Alibaba Group,7
"Yonsei University, Korea (South)",7
"Guangzhou University, China",7
"The University of Sydney, Australia",7
"University of Nebraska-Lincoln, USA",7
"University of Southern California, USA",7
"Chinese Academy of Sciences, China",7
"Chongqing University, China",7
"Renmin University of China, China",7
"Technical University of Munich, Germany",7
"Old Dominion University, USA",7
"Florida State University, USA",7
Worcester Polytechnic Institute,7
Stony Brook University,7
Huazhong University of Science and Technology,7
New Jersey Institute of Technology,7
University of Toronto,7
"University of California, Santa Barbara",7
The Pennsylvania State University,7
Rochester Institute of Technology,7
University of Texas at Austin,7
"University of California, Irvine",7
"University of Maryland, College Park",7
Kiel University,7
State Key Laboratory for Novel Software Technology,7
Tsinghua University and Zhongguancun Laboratory,7
Renmin University of China,7
Southwestern University of Finance and Economics,7
Kyushu University,7
"Huawei Technologies Co., Ltd",6
University of Oxford,6
University of Utah,6
"IMDEA Networks, Spain",6
"Yale University, USA",6
"National Institute of Informatics, Japan",6
"Hong Kong University of Science and Technology, China",6
"Sichuan University, China",6
"University of Vienna, Austria",6
"Texas A&M University, USA",6
"North Carolina State University, USA",6
"Florida International University, USA",6
"University of British Columbia, Canada",6
"Budapest University of Technology and Economics, Hungary",6
"University of Padova, Italy",6
"University of Michigan, USA",6
"George Mason University, USA",6
"Sun Yat-Sen University, China",6
"Politecnico di Milano, Italy",6
"Rice University, USA",6
"Bell Labs, Nokia, USA",6
"University of Cambridge, United Kingdom (Great Britain)",6
