Accepted Contributions

TITLE	AUTHORS WITH AFFILIATION AND COUNTRY
Now You See Me, Now You Don’t: Consent-Driven Privacy for Smart Glasses	Yahya Khawaja, Eman Nabeel and Sana Humayun (Lahore University of Management Sciences, Pakistan); Eruj Javed (Lahore University of Management Sciences (LUMS), Pakistan); Katharina Krombholz (CISPA Helmholtz Center for Information Security, Germany); Muhammad Hamad Alizai (LUMS, Pakistan); Naveed Anwar Bhatti (Lahore University of Management Sciences, Pakistan)
Wandatch: Infrastructure-Free Point-to-Command with Smartwatches and Speakers	Lin Chen (The Hong Kong University of Science and Technology (Guangzhou), China); Yandao Huang (Hong Kong University of Science and Technology, China); Minghui Qiu, Shuxin Zhong, Jun Chen and Kaishun Wu (The Hong Kong University of Science and Technology (Guangzhou), China)
Attention Feature Fusion with Cluster Contrastive Learning for Snoring and Breath-Holding Detection Using Seismic Sensing	Yingjian Song (Nocturnal.Inc, USA); Jiayu Chen (University of Georgia, USA); Zixuan Zeng (University of Georgia, USA); Yida Zhang (University of Georgia, USA); Zaid Farooq Pitafi (University of Georgia, USA); Fei Dou (University of Georgia, USA); Xiang Zhang (University of North Carolina at Charlotte, USA); Bradley G. Phillips (University of Georgia, USA); Wenzhan Song (University of Georgia, USA)
LEAF: Layer-Wise Energy-Adaptive Framework for Multi-DNN Real-Time Intermittent Systems	Hyunwoo Koo and Wonyeong Lee (Sungkyunkwan University, Korea (South)); Jinkyu Lee (Yonsei University, Korea (South))
MERCI: Adaptive Multi-Expert Inference for Dynamic and Large-Vocabulary Vision Perception	Wootack Kim, Minkyung Jeong and Seokgyeong Shin (Seoul National University, Korea (South)); Juheon Yi (Microsoft, China); Youngki Lee (Seoul National University, Korea (South))
RAG-HAR: Retrieval Augmented Generation-based Human Activity Recognition	Nirhoshan Sivaroopan (University of Sydney, Australia); Hansi Karunarathna (University of Jayawardenapura, Sri Lanka); Chamara Manoj Madarasingha Kattadige (Curtin University, Australia); Anura P Jayasumana (Colorado State University, USA); Kanchana Thilakarathna (The University of Sydney, Australia)
HoloQRam: Efficient Real-Time Spatial Video Delivery via Animated QR Codes	Jaewon Choi and JeongGil Ko (Yonsei University, Korea (South))
Foreground Graphics-Aware Runtime DNN Scheduling on Mobile GPUs	Minju Kang, Jaeho Jin, Sungmin Lee and JeongGil Ko (Yonsei University, Korea (South))
SignAlign: A Smartphone-Based Visual Positioning System for Enhanced Bicycle Safety	Lennart Busch, Lars Mathuseck, Johann Götz, Judith Simone Heinisch and Klaus David (University of Kassel, Germany)
HARBench: A Comprehensive Benchmark for Evaluating Foundation Models in Sensor-based Human Activity Recognition	Kei Tanigaki (Hara Laboratory, Osaka University, Japan); Takuya Maekawa (The University of Osaka, Japan); Takahiro Hara (Osaka University, Japan)
A Teaching Assistant for Teacher-Student Learning: Knowledge Transfer from Skeleton to Inertial Sensing for Activity Recognition in Industrial Domains	Hongyin Qiao (The University of Osaka, Japan); Qingxin Xia and Hamada Rizk (Osaka University, Japan); Takuya Maekawa (The University of Osaka, Japan)
Addressing Extra Voices and Background Noise in Continuous Speech Monitoring: A Case Study on Chronic Obstructive Pulmonary Disease	Salaar Liaqat and Daniyal Liaqat (University of Toronto, Canada); Tatiana Son (Canada); Robert Wu (University Health Network, Canada); Andrea Gershon (Sunnybrook Health Sciences Centre, Canada); Eyal de Lara and Alex Mariakakis (University of Toronto, Canada)
ReFDrone: One-Shot Indoor Drone 4DoF Estimation via Rolling-Shutter AoA from Floor-Reflected Light	Yusei Onishi (Hokkaido University, Japan); Hiroaki Murakami (The University of Tokyo, Japan); Masanari Nakamura (Hokkaido University, Japan); Hiromichi Hashizume (National Institute of Informatics, Japan); Masanori Sugimoto (Hokkaido University, Japan)
HydratEar: Non-Invasive Hydration Monitoring using In-Ear Acoustic Reflectometry	Garvit Chugh and Suchetana Chakraborty (Indian Institute of Technology Jodhpur, India)
AcouBLE: Clock-Seeding BLE chips via Acoustic Signals for Extended Energy Efficiency	Mohammad Rostami (IRIT – CNRS, France); Gentian Jakllari (IRIT – Université de Toulouse, France)
Towards Device-Free Gaming with mmWave Radar	Yukuan Ding (Delft University of Technology, The Netherlands); Harvy Martinez (Pontificia Universidad Católica del Perú, Peru); Girish Vaidya, Koendert Langendoen and Marco Zuniga (Delft University of Technology, The Netherlands)
HoSig-Align I: Edge-Native Threat Attribution using Homology Blocks in IoT-Pervasive Networks	Aiting Yao (Pengcheng Laboratory, China); Shantanu Pal (Deakin University, Australia); Chengzu Dong (Lingnan University, Hong Kong); Di Shao, Wenying Feng and Ruonan Li (Pengcheng Laboratory, China); Zhaoquan Gu (Harbin Institute of Technology Shenzhen, China)
Argos: Leveraging Visual Priors for Scalable Wireless Navigation in Dynamic Environments	Arko Datta, Tharaneeshwaran V U and Aravindh Sriram Kumar A G (Indian Institute of Technology Madras, India); Ayon Chakraborty (Indian Institute of Technology, Madras, India)
CARE: Contrastive Alignment for ADL Recognition from Event-Triggered Sensor Streams	Junhao Zhao (University of Maryland, College Park, USA); Zishuai Liu, Ruili Fang and Jin Lu (University of Georgia, USA); Linghan Zhang (Eindhoven University of Technology, The Netherlands); Fei Dou (University of Georgia, USA)
ScaleWave: Breaking Through Resource Bottlenecks to Scale Up Serverless Computing at the Edge	Summit Shrestha and Zheng Song (University of Michigan at Dearborn, USA); Eli Tilevich (Virginia Tech, USA); Zhengquan Li (University of Michigan- Dearborn, USA); Christine Julien (Virginia Tech, USA); Probir Roy (UMDearborn, USA)
Fed-CASQ: Enhancing Class-Wise Accuracy in Pervasive Federated Learning with Class-Aware Scaling and Quantization	Emon Dey (Argonne National Laboratory, USA); Anuradha Ravi and Gaurav Shinde (University of Maryland Baltimore County, USA); Garvit Chugh (Indian Institute of Technology Jodhpur, India); Indrajeet Ghosh (University of Virginia, USA); Archan Misra (Singapore Management University, Singapore); Nirmalya Roy (University of Maryland Baltimore County, USA)
A Picture is Worth a Thousand Risks: Inferring Privacy Risks from Home Interior Images via Object-Level Sensitivity Analysis	Lindrit Kqiku (University of Göttingen, Germany); Eddie Bark (Deloitte, Germany); Archan Misra (Singapore Management University, Singapore); Delphine Reinhardt (University of Göttingen, Germany)
PSMark: A Distributed IoT Benchmark for Publish/Subscribe Under Domain-Based Workloads	Christian Badolato and Nathan Samson (University of Maryland, Baltimore County, USA); Houssam Hajj Hassan (Orange Innovation, France); Chih-Kai Huang (Télécom SudParis / IP Paris, France); Georgios Bouloukakis (University of Patras, Greece & Télécom SudParis, IP Paris, France); Primal Pappachan (Portland State University, USA); Roberto Yus (University of Maryland, Baltimore County, USA)
Beyond Communication: On-Modem DNN Inference and Training for Home Appliances	Insung Jung and Seulki Lee (Ulsan National Institute of Science and Technology, Korea (South))
SolarTrack: Exploring the Continuous Tracking Capabilities of Wearable Solar Harvesters	Yasien Ghalwash (Queensland University of Technology (QUT), Australia); Abdelwahed Khamis and Moid Sandhu (CSIRO, Australia); Sara Khalifa (Queensland University of Technology, Australia); Raja Jurdak (Queensland University of Technology & CSIRO, Australia)
TinySense: Effective CSI Compression for Scalable and Accurate Wi-Fi Sensing	Toan Gian (Northeastern University, USA); Dung Trung Tran (VinUniversity, Vietnam); Viet Quoc Pham (Trinity College Dublin, Ireland); Francesco Restuccia (Northeastern University, USA); Van Dinh Nguyen (VinUniversity, Vietnam)
Dynamic Client Selector: A Double Deep Q-Learning Framework for Efficient Federated Learning	Sangeen Khan (University of Chinese Academy of Sciences, China); Md Monjurul Karim (Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences, China); Muhammad Muzammal (Northumbria University Newcastle, United Kingdom (Great Britain)); Qiang Qu (Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences, China)
MentalCare: Contrastive Disentanglement and Positive Transfer for Psychiatric Disorder Detection with a Wristband-Smartphone System	Yufei Zhang, Wenting Kuang and Zite Huang (Shenzhen University, China); Changhe Fan (Guangdong Second Provincial General Hospital, China); Yongpan Zou (Shenzhen University, China)
SenseLess: Minimal Vision, Maximum Insight for Smart Homes	Norah Abdullah Albazzai, Omer Rana and Charith Perera (Cardiff University, United Kingdom (Great Britain))
Efficient Memory Usage For Edge FaaS Platforms	Djob Mvondo (Univ Rennes, CNRS, INRIA, IRISA); Boris Teabe (IRIT-INPT, France); Nikos Parlavantzas (INSA Rennes, France)
D-SYNC: Enhancing Vehicle Localization with Dashcam-Satellite Image Synchronization	Peng Jiang (University of Nebraska Omaha, USA); Liuwan Zhu (University of Hawaii at Manoa, USA); Rui Ning (Old Dominion University & School of Cybersecurity, USA); Michael Wu (University of Arizona, USA); ChunSheng Xin (Iowa State University, USA)
SPECTRA: An Efficient Spectral-Informed Neural Network for Sensor-Based Activity Recognition	Deepika Gurung (DFKI, RPTU Kaiserslautern, Germany); Lala Shakti Swarup Ray (DFKI, Germany); Mengxi Liu and Bo Zhou (German Research Center for Artificial Intelligence, Germany); Paul Lukowicz (DFKI and University of Kaiserslautern, Germany)
μTouch: Enabling Accurate, Lightweight Self-Touch Sensing with Passive Magnets	Siyuan Wang (Shanghai Jiao Tong University, China); Ke Li (Cornell University, USA); Jingyuan Huang and Jike Wang (Shanghai Jiao Tong University, China); Cheng Zhang (Cornell, USA); Alanson Sample (University of Michigan, USA); Dongyao Chen (Shanghai Jiao Tong University, China)
ECORE: Energy-Conscious Optimized Routing for Deep Learning Models at the Edge	Daghash Khalid Alqahtani (The University of Melbourne, Australia); Maria A. Rodriguez (University of Melbourne, Australia); Muhammad Aamir Cheema and Hamid Rezatofighi (Monash University, Australia); Adel N. Toosi (The University of Melbourne, Australia)
