Session #	Number	Authors	Affiliation	Title
3	4	Amessegher, Ismail; Gaudard, Arthur; Anyinam-Boateng, Kojo Nyamekye; Le Blevec, Hugo; Génevé, Lionel; Pouthier, Florian; Leonardon, Mathieu; Fradi, Hajer; Bergantin, Lucia; Papadakis, Panagiotis; Fantoni, Isabelle; Diguet, Jean-Philippe; Arzel, Matthieu	IMT Atlantique	Towards Low-Latency Object Detection on Board Reactive Search-And-Rescue Drones
1	5	Steinbauer-Wagner, Gerald; Rihan, Yazen Mohammad Baker; Edlinger, Raimund; Czech, Gerald; Jost, Michael; Resch, Christian; Halatschek, Richard	Graz University of Technology	Close the Valley of Death - a Deployable Sniffer Robot for Hazardous Substances
2	9 🏆	Sakaue, Tomoki; Nishizawa, Koju; Takahashi, Tadashi; Uchijima, Daisaku; Kaneda, Tomoya; Kadono, Yuuichi; Matsudaira, Masayuki; Sugiyama, Junichi; Komine, Masatsugu	Tokyo Electric Power Company Holdings, Inc.	Development and Deployment of Radiation-Tolerant Remotely-Control System in Fukushima Daiichi NPS
3	10	Morris, Adam Rhys; Pelham, Timothy George; Hunt, Edmund Robert	University of Bristol	Spatially Intelligent Patrol Routes for Concealed Emitter Localization by Robot Swarms
5	12	Cakar, Umut	TED Ankara College Foundation High School	Comparative Gait Performance Study in Biomimetic Snake Robots for Post-Earthquake Search and Rescue Tasks
2	13 🏆	Miller, Maximilian; Hanauer, Moritz; Ambros, Julius; Parhofer, Christoph August Wilhelm; Lueth, Tim C.	Technical University of Munich	Autonomous Robotic System for Emergency Airway Clearance and Secure Intubation
3	15	Weber, Jan; Heimbach, Moritz; Schmidt, Marco	Bochum Univertsity of Applied Sciences	Enhancing Mobile Robot Localization in Feature-Sparse Environments Using Gaussian Maps
2	16 🏆	Swanbeck, Steven; Rosenbaum, Jared; Diaz, Jorge; Parra, Fabian; Pryor, Mitchell	The University of Texas at Austin	Fighting Rust with Robots: Toward Scalable Corrosion Mitigation in Industrial Environments Using Robotic Systems
6	17	Kashid, Sujeet Vilas; Kumat, Ashwin Dharmesh	University of Cincinnati	Evaluating the Effect of Search Strategies in a Hierarchically Decentralized Multi-Robot Task Allocation System
2	19 🏆	Jarabo-Peñas, Alejandro; Bravo-Arrabal, Juan; Lin-Yang, Dahui; Pastor, Francisco; Ladig, Robert; Fernandez-Lozano, Jesus; Christensen, Anders Lyhne; García-Cerezo, Alfonso	University of Southern Denmark	Real-World Deployment of an LLM-Enabled Voice-Commanded UGV for Logistics in SAR Missions
6	21	Cancelliere, Francesco; Guastella, Dario Calogero; Sutera, Giuseppe; Palazzo, Simone; Spampinato, Concetto; Muscato, Giovanni	Università degli Studi di Catania	Reinforcement Learning-Based Mapless Navigation for Ground Vehicles in Dense Forests Using 3D LiDAR
3	22	Yamanaka, Ryosuke; Okada, Yoshito; Ohno, Kazunori; Tadokoro, Satoshi	Tohoku University	Vision-LLM-Based Autonomous Navigation and Inspection in Man-Made Caves Using a Wheeled Robot Equipped with Multi-Modal Sensors
1	23	Rao, Ananya; Choset, Howie; Wettergreen, David	Carnegie Mellon University	Measure-Based Heterogeneous Multi-Agent Team Selection for Information Gathering in Disaster Response
1	26	Kramer, Markus; Lichtenfeld, Jonathan; Daun, Kevin; von Stryk, Oskar	Technical University of Darmstadt	Intention-Aware Multi-Target Human Tracking in Sparse Heterogeneous Sensor Networks for Monitoring Outdoor Facilities
4	27	Bark, Frederik Alexander; Daun, Kevin; von Stryk, Oskar	Technische Universität Darmstadt	Large-Language Model Based Copilot for Co-Active USAR Missions Planning and Execution with Use of Actionable Semantic Scene Graphs
2	29 🏆	Zwakenberg, Dion; Mersha, Abeje Yenehun	Saxion University of Applied Sciences	The Smallest Impulse-Based Firefighting Drone for Rapid Response: Making Every Second Count!
